beta,network,variant,S,eps_hat,eps_tilde,Z0_insample,oos_mean,oos_geomean,oos_std,oos_p95,var_outer,var_inner,follower_share
0.1,grid_5x5,true_dro,20,0.84,0.84,10.155467,6.418039,6.417891,0.043850,6.484539,1.92e-03,2.17e+00,0.0009
0.1,grid_5x5,nominal,20,0.00,0.00,5.985950,5.954775,5.954333,0.072560,6.041028,5.27e-03,2.08e+00,0.0025
0.1,grid_5x5,single_layer,20,0.84,0.00,10.155467,6.271566,6.271385,0.047759,6.341180,2.28e-03,2.08e+00,0.0011
0.1,polska,true_dro,20,0.84,0.84,3.136997,3.128559,3.128399,0.030955,3.137000,9.58e-04,1.73e-03,0.3560
0.1,polska,nominal,20,0.00,0.00,3.137000,3.128559,3.128399,0.030955,3.137000,9.58e-04,1.73e-03,0.3560
0.1,polska,single_layer,20,0.84,0.00,3.137000,3.128559,3.128399,0.030955,3.137000,9.58e-04,1.73e-03,0.3560
0.1,abilene,true_dro,20,0.84,0.84,2.410398,2.313261,2.311485,0.083311,2.336401,6.94e-03,2.95e-02,0.1903
0.1,abilene,nominal,20,0.00,0.00,2.304864,2.289340,2.287172,0.087833,2.314288,7.71e-03,3.40e-02,0.1851
0.1,abilene,single_layer,20,0.84,0.00,2.410398,2.285425,2.283419,0.088325,2.314288,7.80e-03,3.33e-02,0.1897
0.1,nobel_us,true_dro,20,0.84,0.84,3.474196,2.287880,2.283905,0.130745,2.400161,1.71e-02,1.05e-01,0.1398
0.1,nobel_us,nominal,20,0.00,0.00,2.392338,2.293084,2.289965,0.117460,2.400161,1.38e-02,1.04e-01,0.1175
0.1,nobel_us,single_layer,20,0.84,0.00,2.970413,2.293602,2.290497,0.117173,2.400161,1.37e-02,1.03e-01,0.1173
0.1,sioux_falls,true_dro,20,0.84,0.84,11.123193,5.206981,5.206856,0.036252,5.263740,1.31e-03,1.35e+00,0.0010
0.1,sioux_falls,nominal,20,0.00,0.00,5.210565,5.206981,5.206856,0.036252,5.263740,1.31e-03,1.35e+00,0.0010
