beta,network,variant,gamma,Z0_insample,oos_mean,oos_std,oos_p05,oos_p95,win_rate
0.1,polska,nominal,1,13.169416,13.162703,4.991192,6.918537,23.128493,1.0000
0.1,polska,single_layer,1,33.840085,13.162703,4.991192,6.918537,23.128493,0.0000
0.1,polska,true_dro,1,33.840085,13.162703,4.991192,6.918537,23.128493,0.0000
0.1,sioux_falls,nominal,1,9.341284,9.316108,2.920406,5.510921,14.629480,1.0000
0.1,sioux_falls,single_layer,1,24.210343,9.316108,2.920406,5.510921,14.629480,0.0000
0.1,sioux_falls,true_dro,1,24.210343,9.316108,2.920406,5.510921,14.629480,0.0000
0.3,polska,nominal,1,13.169416,12.981616,3.235926,8.281379,18.694225,1.0000
0.3,polska,single_layer,1,31.046621,12.981616,3.235926,8.281379,18.694225,0.0000
0.3,polska,true_dro,1,31.046621,12.981616,3.235926,8.281379,18.694225,0.0000
0.3,sioux_falls,nominal,1,9.341284,9.358119,1.983125,6.490312,12.974058,1.0000
0.3,sioux_falls,single_layer,1,21.963503,9.358119,1.983125,6.490312,12.974058,0.0000
0.3,sioux_falls,true_dro,1,21.963503,9.358119,1.983125,6.490312,12.974058,0.0000
0.5,polska,nominal,1,13.169416,13.190175,2.670466,9.304582,18.124856,1.0000
0.5,polska,single_layer,1,29.085975,13.190175,2.670466,9.304582,18.124856,0.0000
0.5,polska,true_dro,1,29.085975,13.190175,2.670466,9.304582,18.124856,0.0000
0.5,sioux_falls,nominal,1,9.341284,9.356963,1.601272,7.134156,12.265824,1.0000
0.5,sioux_falls,single_layer,1,20.574208,9.356963,1.601272,7.134156,12.265824,0.0000
0.5,sioux_falls,true_dro,1,20.574208,9.356963,1.601272,7.134156,12.265824,0.0000
0.8,polska,nominal,1,13.169416,13.193085,2.138540,9.964496,16.800819,1.0000
0.8,polska,single_layer,1,26.969979,13.193085,2.138540,9.964496,16.800819,0.0000
0.8,polska,true_dro,1,26.969979,13.193085,2.138540,9.964496,16.800819,0.0000
0.8,sioux_falls,nominal,1,9.341284,9.345930,1.262218,7.615587,11.566573,1.0000
0.8,sioux_falls,single_layer,1,19.052138,9.345930,1.262218,7.615587,11.566573,0.0000
0.8,sioux_falls,true_dro,1,19.052138,9.345930,1.262218,7.615587,11.566573,0.0000
