beta,network,variant,Z0_insample,oos_mean,oos_std,oos_p05,oos_p95,win_rate
0.1,grid_5x5,nominal,5.985950,5.850185,1.479861,3.536825,8.335401,0.8220
0.1,grid_5x5,single_layer,10.155467,6.173194,1.468831,3.908696,8.663240,0.1710
0.1,grid_5x5,true_dro,10.155467,6.324174,1.507097,3.919062,8.808323,0.0070
0.1,polska,nominal,3.137000,3.132272,0.023489,3.116200,3.137000,1.0000
0.1,polska,single_layer,3.137000,3.132272,0.023489,3.116200,3.137000,0.0000
0.1,polska,true_dro,3.136997,3.132272,0.023489,3.116200,3.137000,0.0000
0.1,abilene,nominal,2.304864,2.292125,0.203095,1.848267,2.410378,0.9640
0.1,abilene,single_layer,2.410398,2.286209,0.205437,1.778898,2.410378,0.0360
0.1,abilene,true_dro,2.410398,2.314172,0.193731,1.843314,2.410394,0.0000
0.1,nobel_us,nominal,2.392338,2.280544,0.356836,1.650381,2.780449,0.4570
0.1,nobel_us,single_layer,2.970413,2.280936,0.356556,1.650381,2.780449,0.1750
0.1,nobel_us,true_dro,3.474196,2.280532,0.361543,1.618076,2.780449,0.3680
0.1,sioux_falls,nominal,5.210565,5.204810,1.138784,3.740432,7.450350,1.0000
0.1,sioux_falls,single_layer,11.123193,5.204810,1.138784,3.740432,7.450350,0.0000
0.1,sioux_falls,true_dro,11.123193,5.204810,1.138784,3.740432,7.450350,0.0000
0.3,grid_5x5,nominal,5.985950,5.957186,0.951181,4.434989,7.485132,0.9200
0.3,grid_5x5,single_layer,9.921442,6.283392,0.958078,4.773427,7.892152,0.0800
0.3,grid_5x5,true_dro,9.921442,6.290544,0.954592,4.789255,7.892349,0.0000
0.3,polska,nominal,3.137000,3.136840,0.002033,3.137000,3.137000,1.0000
0.3,polska,single_layer,3.137000,3.136840,0.002033,3.137000,3.137000,0.0000
0.3,polska,true_dro,3.136997,3.136840,0.002033,3.137000,3.137000,0.0000
0.3,abilene,nominal,2.304864,2.301106,0.133355,2.017292,2.406311,0.9910
0.3,abilene,single_layer,2.410398,2.299983,0.134563,2.016550,2.406311,0.0090
0.3,abilene,true_dro,2.410398,2.325309,0.125943,2.045376,2.408933,0.0000
0.3,nobel_us,nominal,2.392338,2.342492,0.226847,1.921651,2.655684,0.5100
0.3,nobel_us,single_layer,2.969338,2.342651,0.226584,1.931077,2.655684,0.3650
0.3,nobel_us,true_dro,3.395530,2.342504,0.226843,1.921651,2.655684,0.1250
0.3,sioux_falls,nominal,5.210565,5.218834,0.773467,4.099942,6.638308,1.0000
0.3,sioux_falls,single_layer,10.179733,5.218834,0.773467,4.099942,6.638308,0.0000
0.3,sioux_falls,true_dro,10.179733,5.218834,0.773467,4.099942,6.638308,0.0000
0.5,grid_5x5,nominal,5.985950,5.948133,0.777832,4.684875,7.278982,0.9410
0.5,grid_5x5,single_layer,9.641766,6.270358,0.778972,5.066323,7.579045,0.0450
0.5,grid_5x5,true_dro,9.641766,6.269693,0.778838,5.066323,7.579045,0.0140
0.5,polska,nominal,3.137000,3.137000,0.000000,3.137000,3.137000,1.0000
0.5,polska,single_layer,3.137000,3.137000,0.000000,3.137000,3.137000,0.0000
0.5,polska,true_dro,3.136997,3.137000,0.000000,3.137000,3.137000,0.0000
0.5,abilene,nominal,2.304864,2.302387,0.100042,2.091250,2.400752,0.9900
0.5,abilene,single_layer,2.410398,2.301899,0.100197,2.091250,2.400752,0.0100
0.5,abilene,true_dro,2.410398,2.325672,0.093591,2.131407,2.406229,0.0000
0.5,nobel_us,nominal,2.392338,2.365663,0.172530,2.067640,2.611292,0.4750
0.5,nobel_us,single_layer,2.945932,2.365704,0.172428,2.067640,2.611292,0.3160
0.5,nobel_us,true_dro,3.307165,2.365906,0.172071,2.070206,2.611292,0.2090
0.5,sioux_falls,nominal,5.210565,5.223678,0.625118,4.357742,6.361638,1.0000
0.5,sioux_falls,single_layer,9.648219,5.223678,0.625118,4.357742,6.361638,0.0000
0.5,sioux_falls,true_dro,9.648219,5.223678,0.625118,4.357742,6.361638,0.0000
0.8,grid_5x5,nominal,5.985950,5.958862,0.608702,4.969359,7.009860,0.9770
0.8,grid_5x5,single_layer,9.250108,6.272266,0.602925,5.283103,7.240295,0.0180
0.8,grid_5x5,true_dro,9.250108,6.271990,0.602965,5.280297,7.240295,0.0050
0.8,polska,nominal,3.137000,3.137000,0.000000,3.137000,3.137000,1.0000
0.8,polska,single_layer,3.137000,3.137000,0.000000,3.137000,3.137000,0.0000
0.8,polska,true_dro,3.136997,3.137000,0.000000,3.137000,3.137000,0.0000
0.8,abilene,nominal,2.304864,2.301014,0.081253,2.145769,2.389778,0.9930
0.8,abilene,single_layer,2.410398,2.301014,0.081253,2.145769,2.389778,0.0070
0.8,abilene,true_dro,2.410398,2.301014,0.081253,2.145769,2.389778,0.0000
0.8,nobel_us,nominal,2.392338,2.366567,0.138421,2.129246,2.566865,0.5110
0.8,nobel_us,single_layer,2.893254,2.366567,0.138421,2.129246,2.566865,0.3670
0.8,nobel_us,true_dro,3.187078,2.366567,0.138421,2.129246,2.566865,0.1220
0.8,sioux_falls,nominal,5.210565,5.214077,0.490320,4.535671,6.065616,1.0000
0.8,sioux_falls,single_layer,9.058556,5.214077,0.490320,4.535671,6.065616,0.0000
0.8,sioux_falls,true_dro,9.058556,5.214077,0.490320,4.535671,6.065616,0.0000
