network,beta,variant,eps_hat,Z0,oos_mean,oos_p5,oos_p95,oos_min,oos_max,f_share,win_vs_nom
grid_5x5,0.1,two_layer,0.84,19.145967,11.797329,7.740667,15.811284,3.119732,18.737762,0.0172,0.1114
grid_5x5,0.1,single,0.84,18.057476,11.956676,7.552050,16.320383,2.936788,20.055209,0.0251,0.1285
grid_5x5,0.1,nominal,0.00,11.663049,11.296064,7.338671,15.133049,3.124473,18.294450,0.0239,-1.0000
grid_5x5,0.3,two_layer,0.67,18.502936,12.012565,9.184592,14.839238,5.536449,18.539121,0.0158,0.0385
grid_5x5,0.3,single,0.67,17.406954,11.606695,8.950131,14.047805,5.134346,16.451937,0.0223,0.2808
grid_5x5,0.3,nominal,0.00,11.663049,11.485853,8.865484,13.924256,5.370602,16.474088,0.0163,-1.0000
grid_5x5,0.5,two_layer,0.58,17.904527,11.533968,9.498608,13.442871,6.645675,16.041073,0.0253,0.0000
grid_5x5,0.5,single,0.58,16.974235,11.643802,9.566393,13.559148,6.636476,15.975273,0.0374,0.2359
grid_5x5,0.5,nominal,0.00,11.663049,11.533968,9.498608,13.442871,6.645675,16.041073,0.0253,-1.0000
polska,0.1,two_layer,0.84,29.799200,18.712946,12.117867,24.242364,3.922375,29.556863,0.0802,0.0000
polska,0.1,single,0.84,25.540608,18.712946,12.117867,24.242364,3.922375,29.556863,0.0802,0.0000
polska,0.1,nominal,0.00,19.570195,18.712946,12.117867,24.242364,3.922375,29.556863,0.0802,-1.0000
polska,0.3,two_layer,0.67,29.268745,19.117362,15.201846,22.201873,6.065565,27.555701,0.1208,0.0000
polska,0.3,single,0.67,25.510658,19.117362,15.201846,22.201873,6.065565,27.555701,0.1208,0.0000
polska,0.3,nominal,0.00,19.570195,19.117362,15.201846,22.201873,6.065565,27.555701,0.1208,-1.0000
polska,0.5,two_layer,0.58,28.519682,22.305556,18.932570,25.483081,10.926046,31.467117,0.1146,0.0021
polska,0.5,single,0.58,25.344620,19.251424,16.478177,21.620919,10.380463,25.052793,0.0988,0.0000
polska,0.5,nominal,0.00,19.570195,19.251424,16.478177,21.620919,10.380463,25.052793,0.0988,-1.0000
abilene,0.1,two_layer,0.84,19.016711,11.738725,8.182343,15.220812,2.037050,21.094006,0.1246,0.2825
abilene,0.1,single,0.84,17.430647,11.738725,8.182343,15.220812,2.037050,21.094006,0.1246,0.2825
abilene,0.1,nominal,0.00,11.759552,11.295909,7.073020,14.755537,2.031239,18.559778,0.0301,-1.0000
abilene,0.3,two_layer,0.67,18.396614,11.410600,8.847926,13.586737,4.779451,17.272543,0.0628,0.0000
abilene,0.3,single,0.67,16.810553,11.410600,8.847926,13.586737,4.779451,17.272543,0.0628,0.0000
abilene,0.3,nominal,0.00,11.759552,11.410600,8.847926,13.586737,4.779451,17.272543,0.0628,-1.0000
abilene,0.5,two_layer,0.58,17.990247,11.536576,9.688708,13.158465,6.019320,15.491994,0.0497,0.0000
abilene,0.5,single,0.58,16.420005,11.604803,9.747870,13.144420,6.099420,15.806046,0.1717,0.4234
abilene,0.5,nominal,0.00,11.759552,11.536576,9.688708,13.158465,6.019320,15.491994,0.0497,-1.0000
nobel_us,0.1,two_layer,0.84,14.272215,8.950870,6.374379,11.007015,1.799986,13.434055,0.0838,0.1187
nobel_us,0.1,single,0.84,12.457984,9.465767,6.712635,11.970125,2.649400,14.566819,0.0370,0.0699
nobel_us,0.1,nominal,0.00,9.022801,8.641177,6.042454,10.663809,1.413709,13.370408,0.0898,-1.0000
nobel_us,0.3,two_layer,0.67,13.463599,9.103923,7.381597,10.383918,3.634103,12.868371,0.0685,0.0669
nobel_us,0.3,single,0.67,12.123770,8.822634,7.138233,10.149948,3.572407,12.234885,0.0446,0.0000
nobel_us,0.3,nominal,0.00,9.022801,8.822634,7.138233,10.149948,3.572407,12.234885,0.0446,-1.0000
nobel_us,0.5,two_layer,0.58,12.847541,8.869842,7.664460,9.900605,4.846451,11.344590,0.0297,0.0000
nobel_us,0.5,single,0.58,11.881485,8.869842,7.664460,9.900605,4.846451,11.344590,0.0297,0.0000
nobel_us,0.5,nominal,0.00,9.022801,8.869842,7.664460,9.900605,4.846451,11.344590,0.0297,-1.0000
sioux_falls,0.1,two_layer,0.84,34.410393,20.303392,13.730211,26.330712,6.617935,33.772747,0.0331,0.0000
sioux_falls,0.1,single,0.84,31.047438,21.144047,14.513909,26.900322,7.245416,35.079270,0.0624,0.1300
sioux_falls,0.1,nominal,0.00,20.954014,20.303392,13.730211,26.330712,6.617935,33.772747,0.0331,-1.0000
sioux_falls,0.3,two_layer,0.67,33.124382,20.474820,16.280867,24.270370,10.099102,29.985833,0.0427,0.0000
sioux_falls,0.3,single,0.67,30.116532,21.423944,17.362504,25.067267,11.471605,29.249953,0.0464,0.0606
sioux_falls,0.3,nominal,0.00,20.954014,20.474820,16.280867,24.270370,10.099102,29.985833,0.0427,-1.0000
sioux_falls,0.5,two_layer,0.58,32.168183,20.668511,17.610041,23.497104,12.342411,27.981255,0.0372,0.0000
sioux_falls,0.5,single,0.58,29.464051,21.639334,18.652987,24.404351,13.520422,28.012622,0.0293,0.0151
sioux_falls,0.5,nominal,0.00,20.954014,20.668511,17.610041,23.497104,12.342411,27.981255,0.0372,-1.0000
