network,beta,gap_mean,gap_p5,gap_p95,dro_wins,gap_sl_mean,gap_sl_wins,same_x
grid_5x5,0.1,0.452049,0.339407,0.542107,0.0000,-0.221854,1.0000,false
grid_5x5,0.3,0.532403,0.357896,0.692834,0.0000,0.413492,0.0000,false
grid_5x5,0.5,0.000000,0.000000,0.000000,,-0.118838,1.0000,false
polska,0.1,0.000000,0.000000,0.000000,,0.000000,,true
polska,0.3,0.000000,0.000000,0.000000,,0.000000,,true
polska,0.5,3.005999,2.447722,3.381372,0.0000,3.005999,0.0000,false
abilene,0.1,0.506126,0.343694,0.684628,0.0000,0.000000,,false
abilene,0.3,0.000000,0.000000,0.000000,,0.000000,,true
abilene,0.5,0.000000,0.000000,0.000000,,-0.091408,0.7400,false
nobel_us,0.1,0.297806,0.223627,0.375970,0.0000,-0.415001,1.0000,false
nobel_us,0.3,0.277445,0.203474,0.338706,0.0000,0.277445,0.0000,false
nobel_us,0.5,0.000000,0.000000,0.000000,,0.000000,,true
sioux_falls,0.1,0.000000,0.000000,0.000000,,-0.935913,1.0000,false
sioux_falls,0.3,0.000000,0.000000,0.000000,,-0.936041,1.0000,false
sioux_falls,0.5,0.000000,0.000000,0.000000,,-0.936020,1.0000,false
