beta,network,S,eps,Z0_insample,oos_mean,oos_geomean,oos_std,oos_p95,var_outer,var_inner,follower_share
0.1,grid_5x5,20,0.84,10.155467,6.418039,6.417891,0.043850,6.484539,1.92e-03,2.17e+00,0.0009
0.1,polska,20,0.84,3.136997,3.128559,3.128399,0.030955,3.137000,9.58e-04,1.73e-03,0.3560
0.1,abilene,20,0.84,2.410398,2.313261,2.311485,0.083311,2.336401,6.94e-03,2.95e-02,0.1903
0.1,nobel_us,20,0.84,3.474196,2.287880,2.283905,0.130745,2.400161,1.71e-02,1.05e-01,0.1398
0.1,sioux_falls,20,0.84,11.123193,5.206981,5.206856,0.036252,5.263740,1.31e-03,1.35e+00,0.0010
0.3,grid_5x5,20,0.67,9.921442,6.274966,6.274838,0.040119,6.337905,1.61e-03,8.90e-01,0.0018
0.3,polska,20,0.67,3.136997,3.136752,3.136752,0.001416,3.137000,2.01e-06,5.85e-06,0.2554
0.3,abilene,20,0.67,2.410398,2.327845,2.327826,0.009332,2.334737,8.71e-05,1.31e-02,0.0066
0.3,nobel_us,20,0.67,3.395530,2.339817,2.338778,0.068615,2.397061,4.71e-03,4.78e-02,0.0897
0.3,sioux_falls,20,0.67,10.179733,5.210312,5.210259,0.023715,5.246589,5.62e-04,5.70e-01,0.0010
0.5,grid_5x5,20,0.58,9.641766,6.276462,6.276390,0.030160,6.316958,9.10e-04,5.65e-01,0.0016
0.5,polska,20,0.58,3.136997,3.137000,3.137000,0.000000,3.137000,1.93e-31,2.18e-30,0.0815
0.5,abilene,20,0.58,2.410398,2.328427,2.328426,0.002938,2.332339,8.63e-06,8.26e-03,0.0010
0.5,nobel_us,20,0.58,3.307165,2.355679,2.355107,0.051231,2.395088,2.62e-03,2.66e-02,0.0900
0.5,sioux_falls,20,0.58,9.648219,5.210233,5.210207,0.016779,5.235572,2.82e-04,3.65e-01,0.0008
0.8,grid_5x5,20,0.49,9.250108,6.282207,6.282175,0.019928,6.318572,3.97e-04,3.65e-01,0.0011
0.8,polska,20,0.49,3.136997,3.137000,3.137000,0.000000,3.137000,1.99e-31,2.12e-30,0.0860
0.8,abilene,20,0.49,2.410398,2.304512,2.304510,0.002532,2.308893,6.41e-06,6.27e-03,0.0010
0.8,nobel_us,20,0.49,3.187078,2.371589,2.371413,0.028735,2.394311,8.26e-04,1.62e-02,0.0484
0.8,sioux_falls,20,0.49,9.058556,5.212408,5.212385,0.015734,5.239399,2.48e-04,2.38e-01,0.0010
